simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 1000
######################## Stats across all simulations ########################
Char    Counter Value    Expected Value      Real Value  Expected Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  --------------------------  ----------------  -------------------------
r       12 / 14 / 18     154 / 308 / 1235           388  1 / 1 / 2                  1  39.69% / 100.43% / 318.3%   48 / 148 / 847    12.37% / 38.16% / 218.3%
o       11 / 13 / 14     108 / 218 / 308            200  1 / 2 / 4                  2  54.0% / 105.75% / 154.0%    18 / 71 / 108     9.0% / 35.65% / 54.0%
i       9 / 10 / 13      54 / 76 / 218               90  2 / 3 / 5                  3  60.0% / 104.56% / 242.22%   14 / 33 / 128     15.56% / 37.0% / 142.22%
e       8 / 10 / 12      38 / 76 / 154               71  3 / 5 / 7                  4  53.52% / 100.42% / 216.9%   5 / 25 / 83       7.04% / 35.63% / 116.9%
a       7 / 10 / 12      26 / 76 / 154               65  3 / 5 / 7                  5  40.0% / 109.54% / 236.92%   11 / 23 / 89      16.92% / 35.85% / 136.92%
m       7 / 9 / 11       26 / 54 / 108               54  3 / 5 / 8                  6  48.15% / 111.3% / 200.0%    0 / 17 / 54       0.0% / 31.3% / 100.0%
g       7 / 8 / 9        26 / 38 / 54                42  5 / 7 / 9                  7  61.9% / 97.14% / 128.57%    4 / 11 / 16       9.52% / 25.71% / 38.1%
u       6 / 7 / 9        18 / 26 / 54                27  6 / 9 / 10                 8  66.67% / 114.07% / 200.0%   1 / 8 / 27        3.7% / 30.37% / 100.0%
l       4 / 6 / 8        9 / 18 / 38                 21  8 / 10 / 11               10  42.86% / 106.67% / 180.95%  3 / 6 / 17        14.29% / 30.95% / 80.95%
d       4 / 6 / 9        9 / 18 / 54                 22  6 / 10 / 11                9  40.91% / 100.45% / 245.45%  4 / 8 / 32        18.18% / 35.91% / 145.45%
f       5 / 6 / 8        13 / 18 / 38                20  6 / 9 / 11                11  65.0% / 109.25% / 190.0%    2 / 8 / 18        10.0% / 38.75% / 90.0%
Min/Mean/Max
