simulating fixed probability counter with p=0.5 20 times for test chain of size 100000
Exact occurrences of the chain:
r: 36743
o: 19292
i: 9856
e: 7376
a: 7252
g: 4858
m: 4778
u: 2495
f: 2492
d: 2440
l: 2418

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                 18357             36714         36743                1            1  99.92107340173638%                 29  0.07892659826361484%
o                  9625             19250         19292                2            2  99.7822931785196%                  42  0.21770682148040638%
i                  4908              9816          9856                3            3  99.59415584415584%                 40  0.4058441558441558%
e                  3667              7334          7376                4            4  99.43058568329718%                 42  0.56941431670282%
a                  3624              7248          7252                5            5  99.94484280198566%                  4  0.05515719801434087%
g                  2449              4898          4858                6            6  100.8233841086867%                 40  0.8233841086867023%
m                  2407              4814          4778                7            7  100.75345332775221%                36  0.7534533277521975%
f                  1246              2492          2492                8            9  100.0%                              0  0.0%
u                  1209              2418          2495                9            8  96.91382765531063%                 77  3.0861723446893787%
l                  1200              2400          2418               10           11  99.25558312655087%                 18  0.7444168734491315%
d                  1193              2386          2440               11           10  97.78688524590164%                 54  2.2131147540983607%

######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                 18660             37320         36743                1            1  101.57036714476226%               577  1.5703671447622678%
o                  9788             19576         19292                2            2  101.47211279286752%               284  1.47211279286751%
i                  4869              9738          9856                3            3  98.80275974025975%                118  1.1972402597402598%
a                  3669              7338          7252                4            5  101.18587975730833%                86  1.1858797573083288%
e                  3641              7282          7376                5            4  98.72559652928416%                 94  1.2744034707158352%
g                  2443              4886          4858                6            6  100.5763688760807%                 28  0.5763688760806917%
m                  2369              4738          4778                7            7  99.16282963583089%                 40  0.8371703641691084%
f                  1272              2544          2492                8            9  102.08667736757624%                52  2.086677367576244%
u                  1240              2480          2495                9            8  99.39879759519037%                 15  0.6012024048096193%
d                  1190              2380          2440               10           10  97.54098360655738%                 60  2.459016393442623%
l                  1182              2364          2418               11           11  97.76674937965261%                 54  2.2332506203473943%

######################## Simulation nr 3 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                 18421             36842         36743                1            1  100.26943907683096%                99  0.269439076830961%
o                  9608             19216         19292                2            2  99.60605432303545%                 76  0.3939456769645449%
i                  4874              9748          9856                3            3  98.90422077922078%                108  1.0957792207792207%
a                  3724              7448          7252                4            5  102.7027027027027%                196  2.7027027027027026%
