simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100
Exact occurrences of the chain:
o: 31
r: 28
i: 10
u: 8
a: 6
g: 6
m: 4
e: 3
l: 2
f: 1
d: 1

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
u                     4                  9             8                 4            4  112.5%                             1  12.5%
e                     3                  6             3                 5            8  200.0%                             3  100.0%
a                     3                  6             6                 6            5  100.0%                             0  0.0%
m                     2                  4             4                 7            7  100.0%                             0  0.0%
g                     2                  4             6                 8            6  66.66666666666666%                 2  33.33333333333333%
l                     1                  2             2                 9            9  100.0%                             0  0.0%
f                     1                  2             1                10           10  200.0%                             1  100.0%
d                     1                  2             1                11           11  200.0%                             1  100.0%


######################## Simulation nr 8 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                     8                 38            28                 1            2  135.71428571428572%                10  35.714285714285715%
o                     8                 38            31                 2            1  122.58064516129032%                 7  22.58064516129032%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
u                     3                  6             8                 4            4  75.0%                               2  25.0%
a                     3                  6             6                 5            5  100.0%                              0  0.0%
m                     3                  6             4                 6            7  150.0%                              2  50.0%
g                     3                  6             6                 7            6  100.0%                              0  0.0%
l                     2                  4             2                 8            9  200.0%                              2  100.0%
e                     2                  4             3                 9            8  133.33333333333331%                 1  33.33333333333333%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 9 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio        Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  ------------------  ----------------  -------------------
r                     7                 26            28                 1            2  92.85714285714286%                 2  7.142857142857142%
o                     7                 26            31                 2            1  83.87096774193549%                 5  16.129032258064516%
u                     5                 13             8                 3            4  162.5%                             5  62.5%
i                     4                  9            10                 4            3  90.0%                              1  10.0%
g                     4                  9             6                 5            6  150.0%                             3  50.0%
e                     3                  6             3                 6            8  200.0%                             3  100.0%
a                     3                  6             6                 7            5  100.0%                             0  0.0%
l                     2                  4             2                 8            9  200.0%                             2  100.0%
m                     2                  4             4                 9            7  100.0%                             0  0.0%
f                     1                  2             1                10           10  200.0%                             1  100.0%
d                     1                  2             1                11           11  200.0%                             1  100.0%


######################## Simulation nr 10 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  ------------------
o                     8                 38            31                 1            1  122.58064516129032%                 7  22.58064516129032%
r                     7                 26            28                 2            2  92.85714285714286%                  2  7.142857142857142%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
m                     4                  9             4                 4            7  225.0%                              5  125.0%
u                     3                  6             8                 5            4  75.0%                               2  25.0%
a                     3                  6             6                 6            5  100.0%                              0  0.0%
g                     3                  6             6                 7            6  100.0%                              0  0.0%
e                     2                  4             3                 8            8  133.33333333333331%                 1  33.33333333333333%
l                     1                  2             2                 9            9  100.0%                              0  0.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 11 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                     8                 38            28                 1            2  135.71428571428572%                10  35.714285714285715%
o                     7                 26            31                 2            1  83.87096774193549%                  5  16.129032258064516%
u                     6                 18             8                 3            4  225.0%                             10  125.0%
i                     4                  9            10                 4            3  90.0%                               1  10.0%
a                     4                  9             6                 5            5  150.0%                              3  50.0%
e                     3                  6             3                 6            8  200.0%                              3  100.0%
g                     3                  6             6                 7            6  100.0%                              0  0.0%
l                     2                  4             2                 8            9  200.0%                              2  100.0%
m                     2                  4             4                 9            7  100.0%                              0  0.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 12 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  ------------------
o                     8                 38            31                 1            1  122.58064516129032%                 7  22.58064516129032%
r                     7                 26            28                 2            2  92.85714285714286%                  2  7.142857142857142%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
u                     5                 13             8                 4            4  162.5%                              5  62.5%
a                     3                  6             6                 5            5  100.0%                              0  0.0%
m                     3                  6             4                 6            7  150.0%                              2  50.0%
g                     3                  6             6                 7            6  100.0%                              0  0.0%
l                     2                  4             2                 8            9  200.0%                              2  100.0%
e                     2                  4             3                 9            8  133.33333333333331%                 1  33.33333333333333%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 13 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio        Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  ------------------  ----------------  -------------------
r                     7                 26            28                 1            2  92.85714285714286%                 2  7.142857142857142%
o                     7                 26            31                 2            1  83.87096774193549%                 5  16.129032258064516%
i                     5                 13            10                 3            3  130.0%                             3  30.0%
u                     4                  9             8                 4            4  112.5%                             1  12.5%
g                     4                  9             6                 5            6  150.0%                             3  50.0%
e                     3                  6             3                 6            8  200.0%                             3  100.0%
m                     3                  6             4                 7            7  150.0%                             2  50.0%
l                     2                  4             2                 8            9  200.0%                             2  100.0%
a                     2                  4             6                 9            5  66.66666666666666%                 2  33.33333333333333%
f                     1                  2             1                10           10  200.0%                             1  100.0%
d                     1                  2             1                11           11  200.0%                             1  100.0%


######################## Simulation nr 14 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio        Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  ------------------  ----------------  -------------------
o                     7                 26            31                 1            1  83.87096774193549%                 5  16.129032258064516%
i                     6                 18            10                 2            3  180.0%                             8  80.0%
u                     6                 18             8                 3            4  225.0%                            10  125.0%
r                     6                 18            28                 4            2  64.28571428571429%                10  35.714285714285715%
a                     3                  6             6                 5            5  100.0%                             0  0.0%
g                     3                  6             6                 6            6  100.0%                             0  0.0%
l                     2                  4             2                 7            9  200.0%                             2  100.0%
m                     2                  4             4                 8            7  100.0%                             0  0.0%
e                     1                  2             3                 9            8  66.66666666666666%                 1  33.33333333333333%
f                     1                  2             1                10           10  200.0%                             1  100.0%
d                     1                  2             1                11           11  200.0%                             1  100.0%


######################## Simulation nr 15 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  ------------------
r                     9                 54            28                 1            2  192.85714285714286%                26  92.85714285714286%
o                     9                 54            31                 2            1  174.19354838709677%                23  74.19354838709677%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
u                     4                  9             8                 4            4  112.5%                              1  12.5%
g                     4                  9             6                 5            6  150.0%                              3  50.0%
a                     3                  6             6                 6            5  100.0%                              0  0.0%
m                     2                  4             4                 7            7  100.0%                              0  0.0%
l                     1                  2             2                 8            9  100.0%                              0  0.0%
e                     1                  2             3                 9            8  66.66666666666666%                  1  33.33333333333333%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 16 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
o                     7                 26            31                 1            1  83.87096774193549%                  5  16.129032258064516%
i                     4                  9            10                 2            3  90.0%                               1  10.0%
u                     4                  9             8                 3            4  112.5%                              1  12.5%
r                     4                  9            28                 4            2  32.142857142857146%                19  67.85714285714286%
e                     3                  6             3                 5            8  200.0%                              3  100.0%
a                     3                  6             6                 6            5  100.0%                              0  0.0%
m                     3                  6             4                 7            7  150.0%                              2  50.0%
g                     3                  6             6                 8            6  100.0%                              0  0.0%
l                     2                  4             2                 9            9  200.0%                              2  100.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 17 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  ------------------
o                     9                 54            31                 1            1  174.19354838709677%                23  74.19354838709677%
