simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500000
Exact occurrences of the chain:
r: 182911
o: 96970
i: 48588
e: 36825
a: 36733
m: 24648
g: 24416
f: 12363
d: 12273
l: 12173
u: 12100

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
f                    24               9888         12363                10            8  79.98058723610774%               2475  20.01941276389226%
u                    23               6991         12100                11           11  57.776859504132226%              5109  42.22314049586777%


######################## Simulation nr 11 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    33             223753        182911                 1            1  122.32889219347113%             40842  22.32889219347114%
o                    30              79108         96970                 2            2  81.57987006290605%              17862  18.420129937093947%
i                    30              79108         48588                 3            3  162.81386350539228%             30520  62.81386350539228%
a                    30              79108         36733                 4            5  215.3594860207443%              42375  115.35948602074428%
g                    28              39553         24416                 5            7  161.99623197903014%             15137  61.99623197903015%
m                    27              27968         24648                 6            6  113.46965271015902%              3320  13.469652710159039%
d                    26              19776         12273                 7            9  161.13419701784403%              7503  61.13419701784405%
u                    25              13984         12100                 8           11  115.5702479338843%               1884  15.570247933884298%
e                    24               9888         36825                 9            4  26.85132382892057%              26937  73.14867617107943%
f                    24               9888         12363                10            8  79.98058723610774%               2475  20.01941276389226%
l                    23               6991         12173                11           10  57.43037870697445%               5182  42.56962129302555%


######################## Simulation nr 12 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    32             158217        182911                 1            1  86.49944508531472%              24694  13.500554914685283%
o                    31             111876         96970                 2            2  115.37176446323605%             14906  15.371764463236051%
e                    28              39553         36825                 3            4  107.408010862186%                2728  7.408010862186015%
i                    27              27968         48588                 4            3  57.56153782827036%              20620  42.43846217172965%
g                    27              27968         24416                 5            7  114.5478374836173%               3552  14.547837483617302%
a                    27              27968         36733                 6            5  76.13862194756759%               8765  23.861378052432418%
d                    26              19776         12273                 7            9  161.13419701784403%              7503  61.13419701784405%
l                    26              19776         12173                 8           10  162.4578986281114%               7603  62.457898628111394%
m                    25              13984         24648                 9            6  56.73482635507951%              10664  43.26517364492048%
u                    22               4943         12100                10           11  40.85123966942149%               7157  59.14876033057851%
f                    22               4943         12363                11            8  39.98220496643209%               7420  60.0177950335679%


######################## Simulation nr 13 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    33             223753        182911                 1            1  122.32889219347113%             40842  22.32889219347114%
o                    30              79108         96970                 2            2  81.57987006290605%              17862  18.420129937093947%
i                    28              39553         48588                 3            3  81.4048736313493%                9035  18.595126368650696%
m                    27              27968         24648                 4            6  113.46965271015902%              3320  13.469652710159039%
e                    26              19776         36825                 5            4  53.70264765784114%              17049  46.29735234215886%
a                    26              19776         36733                 6            5  53.83714915743337%              16957  46.16285084256663%
l                    26              19776         12173                 7           10  162.4578986281114%               7603  62.457898628111394%
g                    25              13984         24416                 8            7  57.27391874180865%              10432  42.72608125819135%
d                    25              13984         12273                 9            9  113.94117167766642%              1711  13.941171677666423%
u                    24               9888         12100                10           11  81.71900826446281%               2212  18.28099173553719%
f                    23               6991         12363                11            8  56.54776348782657%               5372  43.45223651217342%


######################## Simulation nr 14 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    34             316435        182911                 1            1  172.99943688460507%            133524  72.99943688460509%
o                    30              79108         96970                 2            2  81.57987006290605%              17862  18.420129937093947%
i                    29              55937         48588                 3            3  115.12513377788753%              7349  15.125133777887545%
g                    29              55937         24416                 4            7  229.0997706422018%              31521  129.09977064220183%
a                    29              55937         36733                 5            5  152.27996624288787%             19204  52.279966242887866%
e                    28              39553         36825                 6            4  107.408010862186%                2728  7.408010862186015%
m                    28              39553         24648                 7            6  160.47143784485556%             14905  60.47143784485557%
l                    25              13984         12173                 8           10  114.87718721761276%              1811  14.87718721761275%
f                    25              13984         12363                 9            8  113.11170427889672%              1621  13.111704278896708%
d                    23               6991         12273                10            9  56.96243787175099%               5282  43.037562128249%
u                    23               6991         12100                11           11  57.776859504132226%              5109  42.22314049586777%


######################## Simulation nr 15 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
