simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500
Exact occurrences of the chain:
r: 171
o: 98
i: 47
e: 43
a: 33
m: 31
g: 28
u: 15
d: 12
f: 12
l: 10

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
a                     6                 18            33                 6            5  54.54545454545454%                 15  45.45454545454545%
m                     6                 18            31                 7            6  58.06451612903226%                 13  41.935483870967744%
u                     6                 18            15                 8            8  120.0%                              3  20.0%
d                     5                 13            12                 9            9  108.33333333333333%                 1  8.333333333333332%
f                     4                  9            12                10           10  75.0%                               3  25.0%
l                     4                  9            10                11           11  90.0%                               1  10.0%


######################## Simulation nr 19 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  ------------------
r                    12                154           171                 1            1  90.05847953216374%                 17  9.941520467836257%
o                     9                 54            98                 2            2  55.10204081632652%                 44  44.89795918367347%
m                     8                 38            31                 3            6  122.58064516129032%                 7  22.58064516129032%
a                     7                 26            33                 4            5  78.78787878787878%                  7  21.21212121212121%
e                     7                 26            43                 5            4  60.46511627906976%                 17  39.53488372093023%
g                     7                 26            28                 6            7  92.85714285714286%                  2  7.142857142857142%
d                     6                 18            12                 7            9  150.0%                              6  50.0%
u                     6                 18            15                 8            8  120.0%                              3  20.0%
i                     5                 13            47                 9            3  27.659574468085108%                34  72.3404255319149%
l                     4                  9            10                10           11  90.0%                               1  10.0%
f                     3                  6            12                11           10  50.0%                               6  50.0%


######################## Simulation nr 20 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    13                218           171                 1            1  127.48538011695906%                47  27.485380116959064%
o                    10                 76            98                 2            2  77.55102040816327%                 22  22.448979591836736%
a                     9                 54            33                 3            5  163.63636363636365%                21  63.63636363636363%
e                     9                 54            43                 4            4  125.5813953488372%                 11  25.581395348837212%
g                     8                 38            28                 5            7  135.71428571428572%                10  35.714285714285715%
i                     8                 38            47                 6            3  80.85106382978722%                  9  19.148936170212767%
m                     7                 26            31                 7            6  83.87096774193549%                  5  16.129032258064516%
l                     5                 13            10                 8           11  130.0%                              3  30.0%
u                     5                 13            15                 9            8  86.66666666666667%                  2  13.333333333333334%
d                     4                  9            12                10            9  75.0%                               3  25.0%
f                     4                  9            12                11           10  75.0%                               3  25.0%


