simulating fixed probability counter with p=0.5 20 times for test chain of size 1000000
Exact occurrences of the chain:
r: 365828
o: 195130
i: 97052
e: 73402
a: 73184
m: 48800
g: 48673
l: 24661
u: 24515
f: 24412
d: 24343

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
f                 12193             24386         24412               11           10  99.89349500245781%                 26  0.10650499754219235%

######################## Simulation nr 11 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                183143            366286        365828                1            1  100.12519544704068%               458  0.12519544704068578%
o                 97838            195676        195130                2            2  100.27981345769487%               546  0.2798134576948701%
i                 48537             97074         97052                3            3  100.02266826031405%                22  0.02266826031405844%
a                 36753             73506         73184                4            5  100.43998688237865%               322  0.439986882378662%
e                 36670             73340         73402                5            4  99.91553363668565%                 62  0.0844663633143511%
g                 24567             49134         48673                6            7  100.94713701641567%               461  0.9471370164156719%
m                 24125             48250         48800                7            6  98.87295081967213%                550  1.1270491803278688%
l                 12399             24798         24661                8            8  100.55553302785776%               137  0.555533027857751%
u                 12263             24526         24515                9            9  100.04487048745665%                11  0.04487048745665919%
d                 12182             24364         24343               10           11  100.08626709937147%                21  0.08626709937148257%
f                 12177             24354         24412               11           10  99.76241192855973%                 58  0.23758807144027527%

######################## Simulation nr 12 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  ---------------------
r                182525            365050        365828                1            1  99.7873317515335%                 778  0.21266824846649246%
o                 97570            195140        195130                2            2  100.00512478860246%                10  0.005124788602470148%
i                 48388             96776         97052                3            3  99.71561637060546%                276  0.2843836293945514%
e                 36692             73384         73402                4            4  99.97547750742487%                 18  0.02452249257513419%
a                 36497             72994         73184                5            5  99.7403804110188%                 190  0.2596195889811981%
g                 24310             48620         48673                6            7  99.89111006101946%                 53  0.10888993898054364%
