simulating fixed probability counter with p=0.5 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
d                   134                268           247                 8            9  108.50202429149797%                21  8.502024291497975%
l                   127                254           253                 9            8  100.39525691699605%                 1  0.3952569169960474%
f                   120                240           234                10           10  102.56410256410255%                 6  2.564102564102564%
u                   108                216           230                11           11  93.91304347826087%                 14  6.086956521739131%


######################## Simulation nr 13 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1847               3694          3716                 1            1  99.40796555435952%                 22  0.5920344456404736%
o                   996               1992          1969                 2            2  101.1681056373794%                 23  1.1681056373793803%
i                   480                960           933                 3            3  102.89389067524115%                27  2.8938906752411575%
a                   360                720           749                 4            4  96.12817089452604%                 29  3.871829105473965%
e                   354                708           696                 5            5  101.72413793103448%                12  1.7241379310344827%
m                   258                516           479                 6            7  107.72442588726514%                37  7.724425887265135%
g                   244                488           494                 7            6  98.78542510121457%                  6  1.214574898785425%
l                   127                254           253                 8            8  100.39525691699605%                 1  0.3952569169960474%
d                   116                232           247                 9            9  93.92712550607287%                 15  6.0728744939271255%
f                   115                230           234                10           10  98.29059829059828%                  4  1.7094017094017095%
u                   115                230           230                11           11  100.0%                              0  0.0%


######################## Simulation nr 14 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1875               3750          3716                 1            1  100.91496232508072%                34  0.914962325080732%
o                   958               1916          1969                 2            2  97.3082783138649%                  53  2.691721686135094%
i                   480                960           933                 3            3  102.89389067524115%                27  2.8938906752411575%
a                   390                780           749                 4            4  104.13885180240321%                31  4.138851802403204%
e                   355                710           696                 5            5  102.01149425287358%                14  2.0114942528735633%
m                   253                506           479                 6            7  105.63674321503132%                27  5.6367432150313155%
g                   234                468           494                 7            6  94.73684210526315%                 26  5.263157894736842%
l                   124                248           253                 8            8  98.02371541501977%                  5  1.9762845849802373%
u                   122                244           230                 9           11  106.08695652173914%                14  6.086956521739131%
d                   118                236           247                10            9  95.54655870445345%                 11  4.4534412955465585%
f                   109                218           234                11           10  93.16239316239316%                 16  6.837606837606838%


######################## Simulation nr 15 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  ---------------------
r                  1870               3740          3716                 1            1  100.64585575888051%                24  0.6458557588805167%
o                   985               1970          1969                 2            2  100.05078720162518%                 1  0.050787201625190445%
i                   473                946           933                 3            3  101.39335476956055%                13  1.3933547695605575%
a                   384                768           749                 4            4  102.53671562082778%                19  2.53671562082777%
e                   346                692           696                 5            5  99.42528735632183%                  4  0.5747126436781609%
g                   243                486           494                 6            6  98.38056680161942%                  8  1.6194331983805668%
m                   241                482           479                 7            7  100.62630480167014%                 3  0.6263048016701461%
d                   129                258           247                 8            9  104.45344129554657%                11  4.4534412955465585%
l                   127                254           253                 9            8  100.39525691699605%                 1  0.3952569169960474%
f                   119                238           234                10           10  101.7094017094017%                  4  1.7094017094017095%
u                   109                218           230                11           11  94.78260869565217%                 12  5.217391304347826%


######################## Simulation nr 16 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
