simulating fixed probability counter with p=0.5 20 times for test chain of size 5000
Exact occurrences of the chain:
r: 1789
o: 992
i: 477
a: 403
e: 373
m: 249
g: 223
u: 137
f: 128
l: 117
d: 112

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  --------------------
r                   883              1766          1789                1            1  98.71436556735607%                 23  1.285634432643935%
o                   491               982           992                2            2  98.99193548387096%                 10  1.0080645161290323%
i                   239               478           477                3            3  100.20964360587001%                 1  0.20964360587002098%
a                   187               374           403                4            4  92.80397022332507%                 29  7.196029776674938%
e                   168               336           373                5            5  90.0804289544236%                  37  9.919571045576408%
g                   121               242           223                6            7  108.5201793721973%                 19  8.520179372197308%
m                   120               240           249                7            6  96.3855421686747%                   9  3.614457831325301%
l                    66               132           117                8           10  112.82051282051282%                15  12.82051282051282%
u                    64               128           137                9            8  93.43065693430657%                  9  6.569343065693431%
f                    62               124           128               10            9  96.875%                             4  3.125%
d                    53               106           112               11           11  94.64285714285714%                  6  5.357142857142857%

######################## Simulation nr 15 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   897              1794          1789                1            1  100.27948574622694%                 5  0.2794857462269424%
o                   492               984           992                2            2  99.19354838709677%                  8  0.8064516129032258%
i                   241               482           477                3            3  101.04821802935011%                 5  1.0482180293501049%
a                   212               424           403                4            4  105.21091811414391%                21  5.2109181141439205%
e                   197               394           373                5            5  105.63002680965148%                21  5.630026809651475%
m                   119               238           249                6            6  95.58232931726907%                 11  4.417670682730924%
g                   111               222           223                7            7  99.55156950672645%                  1  0.4484304932735426%
f                    74               148           128                8            9  115.625%                           20  15.625%
d                    63               126           112                9           11  112.5%                             14  12.5%
u                    60               120           137               10            8  87.59124087591242%                 17  12.408759124087592%
l                    59               118           117               11           10  100.85470085470085%                 1  0.8547008547008548%

######################## Simulation nr 16 ########################
Fixed probabilistic counter with chance: 50.0%
