simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
l                    12                154           253                10            8  60.86956521739131%                 99  39.130434782608695%
u                    11                108           230                11           11  46.95652173913044%                122  53.04347826086957%


######################## Simulation nr 7 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    22               4943          3716                 1            1  133.01937567276642%              1227  33.019375672766415%
o                    19               1747          1969                 2            2  88.72524123920772%                222  11.274758760792281%
i                    17                873           933                 3            3  93.56913183279742%                 60  6.430868167202572%
a                    17                873           749                 4            4  116.55540720961281%               124  16.555407209612817%
e                    16                617           696                 5            5  88.64942528735632%                 79  11.350574712643677%
g                    16                617           494                 6            6  124.89878542510122%               123  24.898785425101213%
f                    14                308           234                 7           10  131.6239316239316%                 74  31.62393162393162%
m                    14                308           479                 8            7  64.30062630480167%                171  35.699373695198325%
l                    13                218           253                 9            8  86.16600790513834%                 35  13.83399209486166%
u                    11                108           230                10           11  46.95652173913044%                122  53.04347826086957%
d                    11                108           247                11            9  43.7246963562753%                 139  56.2753036437247%


######################## Simulation nr 8 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    22               4943          3716                 1            1  133.01937567276642%              1227  33.019375672766415%
o                    20               2471          1969                 2            2  125.4951752158456%                502  25.495175215845606%
e                    18               1235           696                 3            5  177.44252873563218%               539  77.4425287356322%
a                    18               1235           749                 4            4  164.88651535380507%               486  64.88651535380508%
i                    17                873           933                 5            3  93.56913183279742%                 60  6.430868167202572%
g                    16                617           494                 6            6  124.89878542510122%               123  24.898785425101213%
m                    14                308           479                 7            7  64.30062630480167%                171  35.699373695198325%
f                    13                218           234                 8           10  93.16239316239316%                 16  6.837606837606838%
d                    13                218           247                 9            9  88.25910931174089%                 29  11.740890688259109%
l                    13                218           253                10            8  86.16600790513834%                 35  13.83399209486166%
u                    12                154           230                11           11  66.95652173913044%                 76  33.04347826086956%


######################## Simulation nr 9 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
