simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100000
Exact occurrences of the chain:
r: 36608
o: 19604
i: 9831
a: 7296
e: 7280
g: 4973
m: 4767
f: 2444
l: 2416
d: 2406
u: 2375

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
g                    22               4943          4973                 8            6  99.39674240900864%                 30  0.6032575909913533%
f                    20               2471          2444                 9            8  101.10474631751228%                27  1.104746317512275%
d                    20               2471          2406                10           10  102.70157938487114%                65  2.7015793848711556%
u                    20               2471          2375                11           11  104.0421052631579%                 96  4.042105263157895%


######################## Simulation nr 16 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    26              19776         36608                 1            1  54.02097902097902%              16832  45.97902097902098%
o                    25              13984         19604                 2            2  71.33238114670475%               5620  28.667618853295245%
e                    24               9888          7280                 3            5  135.82417582417582%              2608  35.824175824175825%
a                    24               9888          7296                 4            4  135.5263157894737%               2592  35.526315789473685%
i                    23               6991          9831                 5            3  71.1117892381243%                2840  28.888210761875698%
m                    23               6991          4767                 6            7  146.65408013425633%              2224  46.65408013425635%
f                    22               4943          2444                 7            8  202.25040916530278%              2499  102.25040916530278%
l                    21               3495          2416                 8            9  144.66059602649005%              1079  44.66059602649007%
d                    20               2471          2406                 9           10  102.70157938487114%                65  2.7015793848711556%
g                    20               2471          4973                10            6  49.68831691132113%               2502  50.31168308867887%
u                    19               1747          2375                11           11  73.5578947368421%                 628  26.442105263157895%


######################## Simulation nr 17 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    27              27968         36608                 1            1  76.3986013986014%                8640  23.6013986013986%
e                    25              13984          7280                 2            5  192.0879120879121%               6704  92.08791208791209%
o                    24               9888         19604                 3            2  50.438685982452554%              9716  49.561314017547446%
i                    24               9888          9831                 4            3  100.57979859627709%                57  0.5797985962770826%
a                    24               9888          7296                 5            4  135.5263157894737%               2592  35.526315789473685%
m                    23               6991          4767                 6            7  146.65408013425633%              2224  46.65408013425635%
f                    22               4943          2444                 7            8  202.25040916530278%              2499  102.25040916530278%
u                    22               4943          2375                 8           11  208.12631578947367%              2568  108.1263157894737%
d                    21               3495          2406                 9           10  145.26184538653365%              1089  45.261845386533665%
g                    21               3495          4973                10            6  70.27950935049266%               1478  29.72049064950734%
l                    20               2471          2416                11            9  102.27649006622516%                55  2.2764900662251653%


######################## Simulation nr 18 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    28              39553         36608                 1            1  108.0446896853147%               2945  8.044689685314685%
e                    25              13984          7280                 2            5  192.0879120879121%               6704  92.08791208791209%
o                    24               9888         19604                 3            2  50.438685982452554%              9716  49.561314017547446%
