simulating fixed probability counter with p=0.5 20 times for test chain of size 1000
Exact occurrences of the chain:
r: 388
o: 200
i: 90
e: 71
a: 65
m: 54
g: 42
u: 27
d: 22
l: 21
f: 20

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   184               368           388                1            1  94.84536082474226%                 20  5.154639175257731%
o                    94               188           200                2            2  94.0%                              12  6.0%
i                    53               106            90                3            3  117.77777777777779%                16  17.77777777777778%
e                    42                84            71                4            4  118.30985915492957%                13  18.30985915492958%
a                    35                70            65                5            5  107.6923076923077%                  5  7.6923076923076925%
m                    28                56            54                6            6  103.7037037037037%                  2  3.7037037037037033%
g                    22                44            42                7            7  104.76190476190477%                 2  4.761904761904762%
u                    18                36            27                8            8  133.33333333333331%                 9  33.33333333333333%
d                    12                24            22                9            9  109.09090909090908%                 2  9.090909090909092%
f                    10                20            20               10           11  100.0%                              0  0.0%
l                     8                16            21               11           10  76.19047619047619%                  5  23.809523809523807%

######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   193               386           388                1            1  99.48453608247422%                  2  0.5154639175257731%
o                    91               182           200                2            2  91.0%                              18  9.0%
i                    47                94            90                3            3  104.44444444444446%                 4  4.444444444444445%
e                    45                90            71                4            4  126.7605633802817%                 19  26.76056338028169%
m                    28                56            54                5            6  103.7037037037037%                  2  3.7037037037037033%
a                    27                54            65                6            5  83.07692307692308%                 11  16.923076923076923%
g                    19                38            42                7            7  90.47619047619048%                  4  9.523809523809524%
u                    15                30            27                8            8  111.11111111111111%                 3  11.11111111111111%
d                    11                22            22                9            9  100.0%                              0  0.0%
f                    10                20            20               10           11  100.0%                              0  0.0%
l                    10                20            21               11           10  95.23809523809523%                  1  4.761904761904762%

######################## Simulation nr 3 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   185               370           388                1            1  95.36082474226805%                 18  4.639175257731959%
o                   117               234           200                2            2  117.0%                             34  17.0%
i                    48                96            90                3            3  106.66666666666667%                 6  6.666666666666667%
e                    29                58            71                4            4  81.69014084507043%                 13  18.30985915492958%
m                    27                54            54                5            6  100.0%                              0  0.0%
a                    27                54            65                6            5  83.07692307692308%                 11  16.923076923076923%
g                    17                34            42                7            7  80.95238095238095%                  8  19.047619047619047%
u                    15                30            27                8            8  111.11111111111111%                 3  11.11111111111111%
l                    14                28            21                9           10  133.33333333333331%                 7  33.33333333333333%
f                    11                22            20               10           11  110.00000000000001%                 2  10.0%
d                    11                22            22               11            9  100.0%                              0  0.0%

######################## Simulation nr 4 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  -------------------  ----------------  -------------------
r                   182               364           388                1            1  93.81443298969072%                 24  6.185567010309279%
o                    99               198           200                2            2  99.0%                               2  1.0%
i                    37                74            90                3            3  82.22222222222221%                 16  17.77777777777778%
e                    34                68            71                4            4  95.77464788732394%                  3  4.225352112676056%
a                    27                54            65                5            5  83.07692307692308%                 11  16.923076923076923%
m                    25                50            54                6            6  92.5925925925926%                   4  7.4074074074074066%
g                    24                48            42                7            7  114.28571428571428%                 6  14.285714285714285%
u                    14                28            27                8            8  103.7037037037037%                  1  3.7037037037037033%
l                    12                24            21                9           10  114.28571428571428%                 3  14.285714285714285%
f                    11                22            20               10           11  110.00000000000001%                 2  10.0%
d                    10                20            22               11            9  90.9090909090909%                   2  9.090909090909092%

######################## Simulation nr 5 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Expected Value    Real Value    Expected Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
